Zoning_Subdistrict,Zoning_District,Article,Map_Number,Subdistrict_Type,Subdistrict_Use,Unique_Code,Condition_Number,Condition_Text,Additional_Restrictions_or_Foot,Municode_Reference_to_Restricti,Max_FAR,Max_Height,Front_Setback,Side_Setback,Rear_Setback,Max_Dwelling_Units_Per_Area,Max_Number_of_Floors,Dwelling_Units_Factor,Amendment_Number,Latest_Amendment_Effective_Date,Color_Hex_Code,Urban_CustomID,Urban_Name,Comments,created_user,created_date,last_edited_user,last_edited_date,Shape_Length,Shape_Area,shape_wkt
M-2,Boston Proper,Underlying Zoning,1,Restricted Manufacturing,Industrial,ArtUnderlying Zoning_M-2,0,Any Dwelling,Special Restriction,,2.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#65345F,ARTUZ-SUB030-0,ARTUZ-Restricted Manufacturing,,,,GIS,5/7/2025 19:30:57,0.011486861568597,0.000001684635454,
H-3,Boston Proper,Underlying Zoning,1,Apartment Residential,Apartment Residential,ArtUnderlying Zoning_H-3,0,Any Dwelling,Special Restriction,,3.000000000000000,,15.000000000000000,0.000000000000000,,,,,,,#5F5A00,ARTUZ-SUB020-0,ARTUZ-Apartment Residential,,,,GIS,5/7/2025 19:30:57,0.033814970385365,0.000028253675568,
B-4,Boston Proper,Underlying Zoning,1,General Business,Commercial,ArtUnderlying Zoning_B-4,0,Any Dwelling,Special Restriction,,4.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#990300,ARTUZ-SUB006-0,ARTUZ-General Business,,,,GIS,5/7/2025 19:30:57,0.006377128203005,0.000001684230783,
MCOP INSTITUTIONAL DISTRICT,Boston Proper,Underlying Zoning,1,Institutional,Community/Institutional,ArtUnderlying Zoning_MCOP INSTITUTIONAL DISTRICT,0,Institutional District,,,3.000000000000000,155.000000000000000,,,,,,,,,#004B6E,ARTUZ-SUB033-0,ARTUZ-Institutional,,,,GIS,5/7/2025 19:30:57,0.003881003206157,0.000000916688296,"MULTIPOLYGON (((-71.100457777999964 42.336965748000068, -71.100469648999933 42.336970500000064, -71.100470040999937 42.336970657000052, -71.101443317999951 42.337360339000043, -71.101534885999968 42.337214927000048, -71.101913360999959 42.336614310000073, -71.10191337699996 42.336614283000074, -71.101918677999947 42.336605871000074, -71.100954077999972 42.336225868000042, -71.100457777999964 42.336965748000068)))"
H-3,Boston Proper,Underlying Zoning,1,Apartment Residential,Apartment Residential,ArtUnderlying Zoning_H-3,0,Any Dwelling,Special Restriction,,3.000000000000000,,15.000000000000000,0.000000000000000,,,,,,,#5F5A00,ARTUZ-SUB020-0,ARTUZ-Apartment Residential,,,,GIS,5/7/2025 19:30:57,0.006519185894769,0.000002205150030,
B-4,Boston Proper,Underlying Zoning,1,General Business,Commercial,ArtUnderlying Zoning_B-4,0,Any Dwelling,Special Restriction,,4.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#990300,ARTUZ-SUB006-0,ARTUZ-General Business,,,,GIS,5/7/2025 19:30:57,0.010763275273043,0.000002385750929,
B-8-120c,Boston Proper,Underlying Zoning,1,General Business,Commercial,ArtUnderlying Zoning_B-8-120c,0,Any Dwelling,Special Restriction,,8.000000000000000,120.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#990300,ARTUZ-SUB011-0,ARTUZ-General Business,,,,GIS,5/7/2025 19:30:57,0.005394054346598,0.000001013797012,
OS-RC,Allston/Brighton Neighborhood,51,7A-7D,Recreation Open Space,Open Space,Art51_OS-RC,0,,,,,,,,,,,,,,#38A800,ART51-SUB042-0,ART51-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.015182410742854,0.000008713619085,
OS-P,Allston/Brighton Neighborhood,51,7A-7D,Parkland Open Space,Open Space,Art51_OS-P,0,,,,,,,,,,,,,,#38A800,ART51-SUB041-0,ART51-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.003773166809104,0.000000602674112,
LC-.5,Allston/Brighton Neighborhood,51,7A-7D,Local Convenience,Commercial,Art51_LC-.5,0,,,,0.500000000000000,15.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB029-0,ART51-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.001814173348222,0.000000149946874,
NS-1,Allston/Brighton Neighborhood,51,7A-7D,Neighborhood Shopping,Commercial,Art51_NS-1,0,,,,1.000000000000000,35.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB036-0,ART51-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.005601433301983,0.000000989310247,
3F-4000,Allston/Brighton Neighborhood,51,7A-7D,Three-Family Residential,Medium Residential,Art51_3F-4000,0,"Semi-attached Dwelling, Row House Building, or Town House Building",,,0.800000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART51-SUB006-0,ART51-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.009070566750472,0.000003013716616,
NS-1,Allston/Brighton Neighborhood,51,7A-7D,Neighborhood Shopping,Commercial,Art51_NS-1,0,,,,1.000000000000000,35.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB036-0,ART51-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.012763820550298,0.000002895156716,
3F-4000,Allston/Brighton Neighborhood,51,7A-7D,Three-Family Residential,Medium Residential,Art51_3F-4000,0,"Semi-attached Dwelling, Row House Building, or Town House Building",,,0.800000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART51-SUB006-0,ART51-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.010353478393913,0.000005128266384,
2F-5000,Allston/Brighton Neighborhood,51,7A-7D,Two-Family Residential,Medium Residential,Art51_2F-5000,0,1 or 2 Family Detached,,,0.600000000000000,35.000000000000000,20.000000000000000,10.000000000000000,30.000000000000000,,2.500000000000000,,,,#8B8400,ART51-SUB005-0,ART51-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.010220846037252,0.000003200190972,
OS-UW,Allston/Brighton Neighborhood,51,7A-7D,Urban Wild Open Space,Open Space,Art51_OS-UW,0,,,,,,,,,,,,,,#38A800,ART51-SUB044-0,ART51-Urban Wild Open Space,,,,GIS,5/7/2025 19:30:57,0.001848751146902,0.000000197542681,
CPS,Allston/Brighton Neighborhood,51,7A-7D,Conservation Protection,Miscellaneous,Art51_CPS,0,,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART51-SUB021-0,ART51-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.002632543771182,0.000000321903592,
OS-RC,Allston/Brighton Neighborhood,51,7A-7D,Recreation Open Space,Open Space,Art51_OS-RC,0,,,,,,,,,,,,,,#38A800,ART51-SUB042-0,ART51-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.003615172142887,0.000000686324290,
OS-P,Allston/Brighton Neighborhood,51,7A-7D,Parkland Open Space,Open Space,Art51_OS-P,0,,,,,,,,,,,,,,#38A800,ART51-SUB041-0,ART51-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.002271385216048,0.000000206547221,
OS-P,Allston/Brighton Neighborhood,51,7A-7D,Parkland Open Space,Open Space,Art51_OS-P,0,,,,,,,,,,,,,,#38A800,ART51-SUB041-0,ART51-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.002519298382707,0.000000364154102,
2F-5000 (A),Allston/Brighton Neighborhood,51,7A-7D,Two-Family Residential,Medium Residential,Art51_2F-5000 (A),0,1 & 2 Family Detached,,,0.800000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART51-SUB004-0,ART51-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.023046614790574,0.000014600360928,
NS-.5,Allston/Brighton Neighborhood,51,7A-7D,Neighborhood Shopping,Commercial,Art51_NS-.5,0,,,,0.500000000000000,35.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB035-0,ART51-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.017478293359405,0.000003747766907,
OS-P,Allston/Brighton Neighborhood,51,7A-7D,Parkland Open Space,Open Space,Art51_OS-P,0,,,,,,,,,,,,,,#38A800,ART51-SUB041-0,ART51-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.001416009307350,0.000000100984512,"MULTIPOLYGON (((-71.149503185999947 42.349209204000033, -71.149517917999958 42.349217490000058, -71.149517974999981 42.34921752300005, -71.149909567999941 42.349437781000063, -71.14997699099996 42.349396639000076, -71.149991037999939 42.349388067000064, -71.150117700999942 42.349303452000072, -71.149763904999986 42.349087748000045, -71.149503185999947 42.349209204000033)))"
OS-CM,Allston/Brighton Neighborhood,51,7A-7D,Cemetery Open Space,Open Space,Art51_OS-CM,0,,,,,,,,,,,,,,#38A800,ART51-SUB039-0,ART51-Cemetery Open Space,,,,GIS,5/7/2025 19:30:57,0.002020937929147,0.000000217543871,"MULTIPOLYGON (((-71.151978643999939 42.350576428000068, -71.152020131999961 42.350578999000049, -71.152430749999951 42.350604446000034, -71.152560631999961 42.350616481000031, -71.15273693499995 42.35033394800007, -71.152775847999976 42.350283459000025, -71.152642339999943 42.35026864200006, -71.152394987999969 42.350261436000039, -71.152393204999953 42.350261384000078, -71.152392481999982 42.35026134800006, -71.152083570999935 42.350245520000044, -71.151978643999939 42.350576428000068)))"
OS-P,Allston/Brighton Neighborhood,51,7A-7D,Parkland Open Space,Open Space,Art51_OS-P,0,,,,,,,,,,,,,,#38A800,ART51-SUB041-0,ART51-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.002653513774566,0.000000253855319,"MULTIPOLYGON (((-71.147022021999987 42.350146973000051, -71.147268291999978 42.350183830000049, -71.147858319999955 42.350342553000075, -71.148129535999942 42.349778151000066, -71.147022021999987 42.350146973000051)))"
ST. ELIZABETH'S HOSPITAL IS,Allston/Brighton Neighborhood,51,7ABCD,Institutional,Community/Institutional,Art51_ST. ELIZABETH'S HOSPITAL IS,0,,,,2.000000000000000,55.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,,,,,,#004B6E,ART51-SUB045-0,ART51-Institutional,,,,GIS,5/7/2025 19:30:57,0.013187749142905,0.000007121666392,
CPS,Allston/Brighton Neighborhood,51,7A-7D,Conservation Protection,Miscellaneous,Art51_CPS,0,,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART51-SUB021-0,ART51-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.013016554414056,0.000007080834826,
OS-RC,Allston/Brighton Neighborhood,51,7A-7D,Recreation Open Space,Open Space,Art51_OS-RC,0,,,,,,,,,,,,,,#38A800,ART51-SUB042-0,ART51-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.008892885378790,0.000002182676116,
1F-3000,Allston/Brighton Neighborhood,51,7A-7D,One-Family Residential,Single-Family Residential,Art51_1F-3000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,15.000000000000000,10.000000000000000,30.000000000000000,,2.500000000000000,,,,#c9be00,ART50-SUB033-0,ART50-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.011659004785899,0.000005276853472,
LC-.5,Allston/Brighton Neighborhood,51,7A-7D,Local Convenience,Commercial,Art51_LC-.5,0,,,,0.500000000000000,15.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB029-0,ART51-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.002009713363788,0.000000205976150,
FRANCISCAN CHILDREN'S HOSPITAL IS,Allston/Brighton Neighborhood,51,7A-7D,Institutional,Community/Institutional,Art51_FRANCISCAN CHILDREN'S HOSPITAL IS,0,,,,2.000000000000000,55.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,,,,,,#004B6E,ART51-SUB022-0,ART51-Institutional,,,,GIS,5/7/2025 19:30:57,0.011248893602254,0.000003997982430,
OS-RC,Allston/Brighton Neighborhood,51,7A-7D,Recreation Open Space,Open Space,Art51_OS-RC,0,,,,,,,,,,,,,,#38A800,ART51-SUB042-0,ART51-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.008353236451551,0.000002555144632,
OS-P,Allston/Brighton Neighborhood,51,7A-7D,Parkland Open Space,Open Space,Art51_OS-P,0,,,,,,,,,,,,,,#38A800,ART51-SUB041-0,ART51-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.010927673287624,0.000002079338122,
2F-5000,Allston/Brighton Neighborhood,51,7A-7D,Two-Family Residential,Medium Residential,Art51_2F-5000,0,1 or 2 Family Detached,,,0.600000000000000,35.000000000000000,20.000000000000000,10.000000000000000,30.000000000000000,,2.500000000000000,,,,#8B8400,ART51-SUB005-0,ART51-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.013762038931630,0.000005725908391,
NS-1,Allston/Brighton Neighborhood,51,7A-7D,Neighborhood Shopping,Commercial,Art51_NS-1,0,,,,1.000000000000000,35.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB036-0,ART51-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.009659524311053,0.000002577295291,
2F-5000,Allston/Brighton Neighborhood,51,7A-7D,Two-Family Residential,Medium Residential,Art51_2F-5000,0,1 or 2 Family Detached,,,0.600000000000000,35.000000000000000,20.000000000000000,10.000000000000000,30.000000000000000,,2.500000000000000,,,,#8B8400,ART51-SUB005-0,ART51-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.007524251523859,0.000002490941931,
LC-1,Allston/Brighton Neighborhood,51,7A-7D,Local Convenience,Commercial,Art51_LC-1,0,,,,1.000000000000000,15.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB030-0,ART51-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.005252786975622,0.000000951893703,
1F-5000,Allston/Brighton Neighborhood,51,7A-7D,One-Family Residential,Single-Family Residential,Art51_1F-5000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#c9be00,ART51-SUB003-0,ART51-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.006156757359065,0.000001256987055,
OS-P,Allston/Brighton Neighborhood,51,7A-7D,Parkland Open Space,Open Space,Art51_OS-P,0,,,,,,,,,,,,,,#38A800,ART51-SUB041-0,ART51-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.013534633664824,0.000008574151171,
LC-.5,Allston/Brighton Neighborhood,51,7A-7D,Local Convenience,Commercial,Art51_LC-.5,0,,,,0.500000000000000,15.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB029-0,ART51-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.003762382447057,0.000000809067403,
LC-.5,Allston/Brighton Neighborhood,51,7A-7D,Local Convenience,Commercial,Art51_LC-.5,0,,,,0.500000000000000,15.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB029-0,ART51-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.002248433786174,0.000000280137043,
CPS,Allston/Brighton Neighborhood,51,7A-7D,Conservation Protection,Miscellaneous,Art51_CPS,0,,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART51-SUB021-0,ART51-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.012556579324249,0.000008214187199,
OS-RC,Allston/Brighton Neighborhood,51,7A-7D,Recreation Open Space,Open Space,Art51_OS-RC,0,,,,,,,,,,,,,,#38A800,ART51-SUB042-0,ART51-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.009238517380202,0.000003992386589,
CPS,Allston/Brighton Neighborhood,51,7A-7D,Conservation Protection,Miscellaneous,Art51_CPS,0,,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART51-SUB021-0,ART51-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.009011864455888,0.000002906176952,
1F-4000,Allston/Brighton Neighborhood,51,7A-7D,One-Family Residential,Single-Family Residential,Art51_1F-4000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,15.000000000000000,10.000000000000000,35.000000000000000,,2.500000000000000,,,,#c9be00,ART51-SUB002-0,ART51-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.004686966839374,0.000001196673181,
MFR-1,Allston/Brighton Neighborhood,51,7A-7D,Multifamily Residential,Medium Residential,Art51_MFR-1,0,1 or 2 Family Detached Dwelling or Semi-Attached Dwelling,,,,35.000000000000000,20.000000000000000,10.000000000000000,30.000000000000000,,3.000000000000000,,,,#8B8400,ART51-SUB032-0,ART51-Multifamily Residential,,,,GIS,5/7/2025 19:30:57,0.007019199094592,0.000002331376339,
1F-5000,Allston/Brighton Neighborhood,51,7A-7D,One-Family Residential,Single-Family Residential,Art51_1F-5000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#c9be00,ART51-SUB003-0,ART51-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.018246654362245,0.000005921108113,
1F-3000,Allston/Brighton Neighborhood,51,7A-7D,One-Family Residential,Single-Family Residential,Art51_1F-3000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,15.000000000000000,10.000000000000000,30.000000000000000,,2.500000000000000,,,,#c9be00,ART50-SUB033-0,ART50-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.010194044333126,0.000002796550566,
CPS,Allston/Brighton Neighborhood,51,7A-7D,Conservation Protection,Miscellaneous,Art51_CPS,0,,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART51-SUB021-0,ART51-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.006069054890229,0.000002146430424,
OS-P,Allston/Brighton Neighborhood,51,7A-7D,Parkland Open Space,Open Space,Art51_OS-P,0,,,,,,,,,,,,,,#38A800,ART51-SUB041-0,ART51-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.001558789909380,0.000000088697754,
1F-4000,Allston/Brighton Neighborhood,51,7A-7D,One-Family Residential,Single-Family Residential,Art51_1F-4000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,15.000000000000000,10.000000000000000,35.000000000000000,,2.500000000000000,,,,#c9be00,ART51-SUB002-0,ART51-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.005027388835442,0.000001086170990,
NS-.5,Allston/Brighton Neighborhood,51,7A-7D,Neighborhood Shopping,Commercial,Art51_NS-.5,0,,,,0.500000000000000,35.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB035-0,ART51-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.003822971870872,0.000000555465219,
OS-P,Allston/Brighton Neighborhood,51,7A-7D,Parkland Open Space,Open Space,Art51_OS-P,0,,,,,,,,,,,,,,#38A800,ART51-SUB041-0,ART51-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.003016811656237,0.000000469922134,
BOSTON UNIVERSITY IS,Allston/Brighton Neighborhood,51,7A-7D,Institutional,Community/Institutional,Art51_BOSTON UNIVERSITY IS,0,,,,3.000000000000000,55.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#004B6E,ART51-SUB014-0,ART51-Institutional,,,,GIS,5/7/2025 19:30:57,0.003786831011035,0.000000888390863,
3F-4000,Allston/Brighton Neighborhood,51,7A-7D,Three-Family Residential,Medium Residential,Art51_3F-4000,0,"Semi-attached Dwelling, Row House Building, or Town House Building",,,0.800000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART51-SUB006-0,ART51-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.036055552144632,0.000018516198180,
LINDEN STREET LI-1,Allston/Brighton Neighborhood,51,7A-7D,Local Industrial,Industrial,Art51_LINDEN STREET LI-1,0,,,,1.000000000000000,35.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#65345F,ART51-SUB031-0,ART51-Local Industrial,,,,GIS,5/7/2025 19:30:57,0.006511680261709,0.000001544557682,
2F-5000,Allston/Brighton Neighborhood,51,7A-7D,Two-Family Residential,Medium Residential,Art51_2F-5000,0,1 or 2 Family Detached,,,0.600000000000000,35.000000000000000,20.000000000000000,10.000000000000000,30.000000000000000,,2.500000000000000,,,,#8B8400,ART51-SUB005-0,ART51-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.008601710385197,0.000003094901552,
OS-RC,Allston/Brighton Neighborhood,51,7A-7D,Recreation Open Space,Open Space,Art51_OS-RC,0,,,,,,,,,,,,,,#38A800,ART51-SUB042-0,ART51-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.002847221178968,0.000000479128334,
LC-.5,Allston/Brighton Neighborhood,51,7A-7D,Local Convenience,Commercial,Art51_LC-.5,0,,,,0.500000000000000,15.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB029-0,ART51-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.002613773303475,0.000000274141671,
3F-4000,Allston/Brighton Neighborhood,51,7A-7D,Three-Family Residential,Medium Residential,Art51_3F-4000,0,"Semi-attached Dwelling, Row House Building, or Town House Building",,,0.800000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART51-SUB006-0,ART51-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.009744549129651,0.000001593975521,
OS-UW,Allston/Brighton Neighborhood,51,7A-7D,Urban Wild Open Space,Open Space,Art51_OS-UW,0,,,,,,,,,,,,,,#38A800,ART51-SUB044-0,ART51-Urban Wild Open Space,,,,GIS,5/7/2025 19:30:57,0.004469503971279,0.000000248452390,
3F-4000,Allston/Brighton Neighborhood,51,7A-7D,Three-Family Residential,Medium Residential,Art51_3F-4000,0,"Semi-attached Dwelling, Row House Building, or Town House Building",,,0.800000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART51-SUB006-0,ART51-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.027859684822225,0.000018086219829,
NS-.5,Allston/Brighton Neighborhood,51,7A-7D,Neighborhood Shopping,Commercial,Art51_NS-.5,0,,,,0.500000000000000,35.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB035-0,ART51-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.011673196831753,0.000002394137514,
1F-5000,Allston/Brighton Neighborhood,51,7A-7D,One-Family Residential,Single-Family Residential,Art51_1F-5000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#c9be00,ART51-SUB003-0,ART51-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.014127406386779,0.000007520066360,
CPS,Allston/Brighton Neighborhood,51,7A-7D,Conservation Protection,Miscellaneous,Art51_CPS,0,,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART51-SUB021-0,ART51-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.002803166318045,0.000000224757910,
2F-5000,Allston/Brighton Neighborhood,51,7A-7D,Two-Family Residential,Medium Residential,Art51_2F-5000,0,1 or 2 Family Detached,,,0.600000000000000,35.000000000000000,20.000000000000000,10.000000000000000,30.000000000000000,,2.500000000000000,,,,#8B8400,ART51-SUB005-0,ART51-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.056648645654175,0.000037513586008,
OS-RC,Allston/Brighton Neighborhood,51,7A-7D,Recreation Open Space,Open Space,Art51_OS-RC,0,,,,,,,,,,,,,,#38A800,ART51-SUB042-0,ART51-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.003736721731547,0.000000765138830,
3F-4000,Allston/Brighton Neighborhood,51,7A-7D,Three-Family Residential,Medium Residential,Art51_3F-4000,0,"Semi-attached Dwelling, Row House Building, or Town House Building",,,0.800000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART51-SUB006-0,ART51-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.009607927854262,0.000005034432355,
OS-RC,Allston/Brighton Neighborhood,51,7A-7D,Recreation Open Space,Open Space,Art51_OS-RC,0,,,,,,,,,,,,,,#38A800,ART51-SUB042-0,ART51-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.007070955417322,0.000002744483116,
GOODENOUGH STREET LI-1,Allston/Brighton Neighborhood,51,7A-7D,Local Industrial,Industrial,Art51_GOODENOUGH STREET LI-1,0,,,,1.000000000000000,35.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#65345F,ART51-SUB023-0,ART51-Local Industrial,,,,GIS,5/7/2025 19:30:57,0.010690073387253,0.000003583908590,
1F-5000,Allston/Brighton Neighborhood,51,7A-7D,One-Family Residential,Single-Family Residential,Art51_1F-5000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#c9be00,ART51-SUB003-0,ART51-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.013037478693837,0.000003343081515,
1F-5000,Allston/Brighton Neighborhood,51,7A-7D,One-Family Residential,Single-Family Residential,Art51_1F-5000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#c9be00,ART51-SUB003-0,ART51-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.009778904844921,0.000004100458532,
LC-.5,Allston/Brighton Neighborhood,51,7A-7D,Local Convenience,Commercial,Art51_LC-.5,0,,,,0.500000000000000,15.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#990300,ART51-SUB029-0,ART51-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.003743873990266,0.000000497277817,
OS-UP,Allston/Brighton Neighborhood,51,7A-7D,Urban Plaza Open Space,Open Space,Art51_OS-UP,0,,,,,,,,,,,,,,#38A800,ART51-SUB043-0,ART51-Urban Plaza Open Space,,,,GIS,5/7/2025 19:30:57,0.001699753815482,0.000000151200783,
3F-4000,Allston/Brighton Neighborhood,51,7A-7D,Three-Family Residential,Medium Residential,Art51_3F-4000,0,"Semi-attached Dwelling, Row House Building, or Town House Building",,,0.800000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART51-SUB006-0,ART51-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.008472306118060,0.000002640245282,
OS-RC,Allston/Brighton Neighborhood,51,7A-7D,Recreation Open Space,Open Space,Art51_OS-RC,0,,,,,,,,,,,,,,#38A800,ART51-SUB042-0,ART51-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.002471280684193,0.000000344739400,
3F-4000,Allston/Brighton Neighborhood,51,7A-7D,Three-Family Residential,Medium Residential,Art51_3F-4000,0,"Semi-attached Dwelling, Row House Building, or Town House Building",,,0.800000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART51-SUB006-0,ART51-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.006342844596785,0.000001882124333,
